Seq,DateListed,年度,類別,項目別,總計,民意代表_主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農_林_漁_牧業生產人員,技藝有關工作人員,機械設備操作及組裝人員,基層技術工及勞力工,其他,沒有換過工作,樣本數_人,母體數_人
1,"20230401","103","總計","-","100.000000000001","0.304378389388197","5.97880169364577","4.27742728317538","5.12537101321253","23.3473601678015","6.15675829379293","19.1634326205605","15.8943689686307","17.9274595483845","1.82464202140922","","30225.5864565936","235643.104494163"
2,"20230401","103","性別","男","100","0.339175453550728","3.2118670280485","3.07200759954918","2.31693186018553","14.958726973855","7.30366015181935","29.4611932091284","17.0105419170017","19.1055055999485","3.22039020691302","","16624.2180759134","129603.869860044"
3,"20230401","103","性別","女","100","0.261848525882543","9.36062014554827","5.75072210977853","8.5579173132178","33.6001626189234","4.75498545317599","6.57724574571457","14.5301537888327","16.4876214763455","0.118722822580691","","13601.3683806803","106039.234634123"
4,"20230401","103","年齡","15 ~ 19歲","100","0.0714203278683686","2.2238910856996","0.746322577670278","2.56999754873283","51.7030055340831","1.27375547693177","14.05136127998","9.99154099020329","17.3687051788309","0","","976.549929090396","7613.94440913662"
5,"20230401","103","年齡","20 ~ 24歲","99.9999999999996","0","6.00055207879811","4.75152492199576","6.50793794626341","42.0898019193981","1.65320365442119","12.7126181984948","11.7876620148767","13.583063184387","0.913636081364509","","3019.68096107369","23542.746216537"
6,"20230401","103","年齡","25 ~ 29歲","100","0.152169950482105","10.0117069263812","7.26125823887873","9.10351733944951","30.8657446267644","2.13265520813887","13.30735746684","13.3394422987717","11.1557273092602","2.67042063503334","","3777.53149267266","29449.5372196931"
7,"20230401","103","年齡","30 ~ 34歲","100","0.238586706685554","8.74611610290191","5.68580266675639","6.61401482122089","26.2266828002412","2.46775796198269","18.6045061620582","16.3340151154717","13.6970426508085","1.38547501187324","","4348.98387446459","33905.0111326193"
8,"20230401","103","年齡","35 ~ 39歲","100","0.263597717540952","6.81191025644719","5.38630318984297","6.59759425276351","20.7921712914011","3.02197261383597","21.5253165317382","16.6717178864666","16.6199040369664","2.30951222299721","","3985.74650895717","31073.7241075274"
9,"20230401","103","年齡","40 ~ 44歲","99.9999999999999","0.422582434380358","4.90740440295941","4.01923950625256","4.35912508730212","19.44116226979","5.15768941578377","22.4350502534343","17.8544485803345","19.4875454495927","1.91575260017022","","3734.83358892533","29116.8651503175"
10,"20230401","103","年齡","45 ~ 49歲","99.9999999999998","0.473576309376688","4.28662821566505","2.98738119058646","3.40348075999937","16.2986037821762","6.46532800171749","23.500155823046","18.3583738367887","22.3244981107229","1.90197396992095","","3722.9947708237","29025.2459497555"
11,"20230401","103","年齡","50 ~ 54歲","100","0.335742825428035","4.09722796912514","2.31472287597156","2.21793024565027","13.4106824060782","8.54768917151955","23.1130493666395","19.4190729791168","24.4956554749842","2.04822668548698","","3119.83512657264","24324.2289471465"
12,"20230401","103","年齡","55 ~ 59歲","99.9999999999998","0.640878597530435","2.9374246943583","2.10143504583387","2.91201059536131","11.2758741965932","16.1949214503165","20.5567031092888","16.6687873038154","24.2886660315686","2.42329897533337","","2166.27836377887","16888.0801259089"
13,"20230401","103","年齡","60 ~ 64歲","100","0.700529380389251","2.4480536456288","1.65859412654859","0.924309762978973","12.0958874065634","25.3271281874587","19.0410605622276","13.6870184615021","23.0253998263966","1.09201864030612","","985.065594742591","7679.13091500312"
14,"20230401","103","年齡","65歲及以上","100","0","4.04538924336378","2.6921665643988","0.557038863594657","7.97730266614933","48.951578998818","8.91888955725264","5.10074343020909","21.441364867791","0.315525808422587","","388.086245491996","3024.59032052134"
15,"20230401","103","教育程度","小學及以下","100","0.107408041980855","0.390406274421985","0.542462195815625","0.261532110277756","9.82286090952695","20.1525229654144","21.8649472777142","15.3665991011152","31.4671623270353","0.0240987966977142","","4107.71811374429","32023.8560358909"
16,"20230401","103","教育程度","國(初)中","100","0.137107526754482","0.486158928809215","0.756690420752002","0.734929106085762","14.2381410226538","7.62096728753666","29.3819020449285","18.651798654035","27.5957989488223","0.396506059622728","","7272.19785518235","56698.5471166591"
17,"20230401","103","教育程度","高級中等(高中、高職)","99.9999999999996","0.229219824810522","2.20776553995277","3.74145627016319","4.07992068153773","30.2184248715748","3.34454709986611","19.1977975392227","19.2817636313311","14.8989618764616","2.80014266507904","","12593.1623219555","98178.7722171691"
18,"20230401","103","教育程度","專科","100","0.780843410713921","19.820959482017","12.2667657616007","11.7976165505818","31.4876809240435","1.09520348960277","6.15779182286825","7.23864070536841","4.46263794764205","4.8918599055617","","2173.9375209442","16947.5022611449"
19,"20230401","103","教育程度","大學及以上","100","0.779173817073156","25.6688101597226","11.714274445922","17.5254589117918","27.6574019190396","0.830770736896278","5.04630236996309","5.66244037417826","3.57761723378511","1.53775003162825","","4078.57064476732","31794.4268633025"
20,"20230401","103","婚姻狀況","未婚","99.9999999999993","0.139976339472635","7.65420573404899","5.37459749014361","7.02836042486034","32.8433511984067","2.4866399227308","16.9686430891945","12.8350994182572","13.1337451691621","1.53538121372242","","10790.809738809","84125.0629637021"
21,"20230401","103","婚姻狀況","有配偶","100","0.427411426752827","5.53092248482672","3.92139165886533","4.33453772688289","17.3924492091507","8.28599649354303","20.9472963866566","17.7040688558745","19.3584819631041","2.09744379434358","","16339.0522564285","127385.055797693"
22,"20230401","103","婚姻狀況","離婚或分居","100","0.311428819157763","2.26738127032464","2.7187011250638","3.06342326609907","23.0636426861912","4.67477355254026","19.5236379314551","17.2909011057286","25.4326137992931","1.65349644414654","","2266.75595114473","17671.2027300708"
23,"20230401","103","婚姻狀況","喪偶","100","0","3.14597836023203","1.27495429303449","1.57965226952482","17.8890293225686","16.0153785766162","11.5856419528363","16.2277320542989","31.6010155173858","0.680617653502958","","828.96851021141","6461.78300270015"
24,"20230401","103","個人每月收入","未滿1萬元","100","0.162794528546096","1.24261221436884","2.17045375884993","3.31512977152492","24.2460965744343","17.1570182165711","12.882968489432","9.94765313818043","27.8657511368682","1.00952217122415","","1515.00186585482","11815.1919202012"
25,"20230401","103","個人每月收入","1萬元 ~ 未滿2萬元","100","0.0520458924030237","2.7172173573077","2.25344252505907","2.45058101144559","25.0391422042531","14.965741927382","13.6687861619832","11.3564928088377","26.4702804951838","1.02626961614484","","4887.34693105412","38104.6028014754"
26,"20230401","103","個人每月收入","2萬元 ~ 未滿3萬元","99.9999999999999","0.156744122085107","3.20525922557511","3.83312046374072","6.16581963963347","29.640954166013","4.30229026465374","15.2365999768198","16.8605034140522","19.0825440600183","1.51616466740837","","11505.5357537143","89701.5070236694"
27,"20230401","103","個人每月收入","3萬元 ~ 未滿4萬元","99.9999999999998","0.213166025783784","8.44784605688191","5.78315192740634","5.67819793298128","16.255493212468","3.4068682514932","26.4485777193099","17.4174030310856","13.9930557468373","2.35624009575249","","7612.28354147834","59339.7067611918"
28,"20230401","103","個人每月收入","4萬元 ~ 未滿5萬元","99.9999999999996","0.681860843397943","11.6826110574665","5.73125139101822","5.63204848790226","10.9649827888391","2.24280841737556","31.3227808733257","18.8599852818015","11.067775245487","1.81389561338589","","2894.24479627222","22563.6245594908"
29,"20230401","103","個人每月收入","5萬元 ~ 未滿6萬元","100","1.39736278865494","16.6707333094268","5.0764933606522","4.51704450790083","23.0849478283777","2.49529008042345","16.7350656863425","17.8449944803302","8.31817240579313","3.85989555209829","","1093.30723334261","8523.99701839006"
30,"20230401","103","個人每月收入","6萬元 ~ 未滿7萬元","100","0.545984487076842","13.4342370492729","5.86029336592105","2.62029612489194","39.4177324975639","1.95103719075468","10.9809725036828","14.5947092850751","5.12984489210595","5.46489260365489","","429.363147700442","3346.69511598208"
31,"20230401","103","個人每月收入","7萬元及以上","99.9999999999999","5.33194101020618","22.7648174504307","7.6634429401712","4.81945846453772","27.3719961261282","5.04087784763062","9.04022563428549","10.0854501940919","2.99205886409013","4.88973146842773","","288.503187176864","2247.77929376582"
32,"20230401","104","總計","-","100.000000000001","0.162755817983664","6.3702051522344","4.56272501964662","5.83057984772553","23.6529613860011","5.54244408048975","19.214708373636","16.9681775958799","15.5939159019026","2.10152682450099","","30945.3724111569","237395.248278043"
33,"20230401","104","性別","男","99.9999999999994","0.233399401742959","3.36192146913642","3.33288567678268","2.8585241012142","15.144067325006","7.03332486422926","29.7318031232619","18.027089237685","16.6818794033486","3.59510539759247","","17035.1238284832","130679.532583005"
34,"20230401","104","性別","女","100.000000000001","0.0762486859691593","10.0540215706872","6.06873404025725","9.47003307385225","34.0725916292796","3.71677479938008","6.33592086740001","15.6714793776601","14.2616420103734","0.272553945142214","","13910.2485826735","106715.715695039"
35,"20230401","104","年齡","15 ~ 19歲","99.9999999999999","0","0.867928138374891","1.30500087637767","1.18618036313128","52.0663913922311","1.3354868589499","16.5146878698734","10.0446537832495","16.6796707178122","0","","947.468677960354","7272.77431080375"
36,"20230401","104","年齡","20 ~ 24歲","100.000000000001","0.0288086672018231","6.70134405933926","5.38577600043467","6.80754906278322","44.934129810234","1.58036239706178","12.1511751189046","10.9463136111588","10.4816556890434","0.982885583839151","","3055.50428449792","23443.4782814656"
37,"20230401","104","年齡","25 ~ 34歲","100","0.120498166664863","9.64285272373757","7.81986734632212","9.55264432131811","31.25243131801","2.00657452886037","12.4060699789206","14.8115191506473","9.48802451907338","2.89951794644591","","4025.1758929337","30874.2320999868"
38,"20230401","104","年齡","30 ~ 34歲","100","0.115361812001579","9.45067641916581","5.36046654266528","8.07891456941882","26.4506023238127","1.97580431170682","16.9720397302043","17.8270254957973","11.4250342620139","2.34407453321378","","4435.27570876347","34024.0086891948"
39,"20230401","104","年齡","35 ~ 39歲","100.000000000001","0.180896482017454","7.0727826259492","5.34974497743383","7.29895019893119","19.9364461167578","3.85069858942237","18.636755643178","19.3861551416914","15.6871536849231","2.60041653969614","","4179.90984522367","32063.4336639422"
40,"20230401","104","年齡","40 ~ 44歲","100","0.120275517567998","5.85445783599533","4.25795454980906","5.83551092537517","20.2708512004061","4.48560505507634","23.1323327155808","18.3219973132937","15.5477120636374","2.17330282325822","","3767.19481547802","28900.2012864856"
41,"20230401","104","年齡","45 ~ 49歲","99.9999999999999","0.20559219402595","4.84447492694019","3.78146507016725","4.15429439904585","16.3780135314557","6.6303477534426","23.2877814434778","20.1634944251442","18.7567875324117","1.79774872388873","","3695.80598625986","28352.1525146094"
42,"20230401","104","年齡","50 ~ 54歲","99.9999999999997","0.283066365934423","4.2393142693511","2.87007842051571","2.41166350860281","13.311456464631","8.1295051003384","27.035061906645","19.600733100485","20.1187705287934","2.00035033470301","","3229.48271966525","24773.8540948954"
43,"20230401","104","年齡","55 ~ 59歲","100","0.220494674003832","3.53353395471823","2.05362788715652","2.98612965729842","10.0676130396892","12.0048794553933","23.6280320203491","18.0455068681387","25.2364972614148","2.22368518183799","","2206.34874251672","16928.0142939783"
44,"20230401","104","年齡","60 ~ 64歲","100","0.370416365495542","2.66909897135451","1.70603316254197","1.84813223081969","11.6719638061763","22.67400417093","20.6043018340387","12.9136222270334","23.5972027772936","1.94522445431634","","1034.29415051908","7933.66113163906"
45,"20230401","104","年齡","65歲及以上","100","0.539913870086994","3.61775493677919","0.847706618095502","0.249854538661587","12.7071778910057","40.3683795053445","12.8895824818866","6.49041830718192","19.8908233695864","2.3983884813716","","368.911587338637","2829.4379110431"
46,"20230401","104","教育程度","小學及以下","100","0","0.309955228061197","0.540238722226266","0.218366032687443","9.05371154424885","17.226478751457","25.6074506943271","16.6504325528946","30.2085712627169","0.184795211380684","","3721.23646056284","28553.0521610227"
47,"20230401","104","教育程度","國(初)中","100","0.0711022913658739","0.479964288477785","0.974287673810378","1.09431701764344","14.6282861489246","7.30132523766515","30.1362857595165","20.6013713037775","24.2004226391432","0.512637639675602","","7374.04985860354","56558.6104041407"
48,"20230401","104","教育程度","高級中等(高中、高職)","100","0.227471746535329","1.98565476386602","3.82685556293943","4.65156423758987","30.0304487839627","3.55098299462961","18.9320125397344","20.3054132066387","13.2247068701195","3.26488929398444","","12913.1120802994","99061.3899145957"
49,"20230401","104","教育程度","專科","100","0.165981392202305","22.6031574314144","13.1689904967575","13.0623915580695","29.7105924923134","1.05278762286566","4.85518430744113","7.59966885832128","2.73354096164375","5.04770487897103","","2166.06838242641","16615.8388306548"
50,"20230401","104","教育程度","大學及以上","99.9999999999998","0.254721429700243","24.6948367945597","11.3295065970843","17.4338810336844","28.9761036263066","1.13833431237676","4.63686425833356","6.82400062144706","3.14574954292561","1.56600178358163","","4770.90562926456","36606.3569676303"
51,"20230401","104","婚姻狀況","未婚","100","0.0837879223670404","7.71167709368529","5.74012234626929","7.53420872108339","32.9711780000283","2.27694762381517","16.2636979212575","14.2600023382588","11.2042102098408","1.95416782339499","","11570.820539952","88764.9512560709"
52,"20230401","104","婚姻狀況","有配偶","100","0.23833999940663","6.20372068945437","4.06034448399107","5.12485840143876","17.3986161708668","7.4154683599254","21.0751334954804","18.8848956482759","17.2727807507661","2.32584200039467","","16521.9608953421","126747.073925024"
53,"20230401","104","婚姻狀況","離婚或分居","99.9999999999998","0.0615906219537638","1.6002807037715","3.22100874471432","3.32247820736214","23.0917001456928","5.83410734026532","22.6188787630738","17.5590378378923","20.9514194639307","1.73949817134315","","2097.70106021027","16092.2136949969"
54,"20230401","104","婚姻狀況","喪偶","100","0","2.70665913172151","1.23944110394256","2.13286559322098","19.2704521163592","13.791054327126","14.2694947049752","14.8863973074351","31.2469232088662","0.456712506353421","","754.889915652455","5791.00940195153"
55,"20230401","104","個人每月收入","未滿1萬元","100","0","2.92883307767563","1.96910821938415","4.0492040380806","25.5922552101211","16.0656730575459","11.4481628576898","10.8483705492394","26.3015502437246","0.796842746538926","","1083.97157172886","8314.39433635557"
56,"20230401","104","個人每月收入","1萬元 ~ 未滿2萬元","100","0.0167795116318791","1.63143505938585","2.39706064460786","2.09868642817205","26.1825440655822","13.7955056590429","14.2172057640733","12.4268563603788","26.0096609615565","1.22426554556895","","4168.05846445077","31974.9069225037"
57,"20230401","104","個人每月收入","2萬元 ~ 未滿3萬元","100.000000000001","0.0294204087151691","2.98656854295295","4.24449272591325","6.72456139068498","30.3037251106567","4.55067547326911","14.0693155858533","18.7879340827477","16.24192285658","2.06138382262758","","12019.2515317261","92198.8918180396"
