Seq,DateListed,年度,類別,項目別,總計,民意代表_主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農_林_漁_牧業生產人員,技藝有關工作人員,機械設備操作及組裝人員,基層技術工及勞力工,其他,樣本數_人,母體數_人
1,"20230401","103","總計","-","100.000000000001","0.304378389388197","5.97880169364577","4.27742728317538","5.12537101321253","23.3473601678015","6.15675829379293","19.1634326205605","15.8943689686307","17.9274595483845","1.82464202140922","30225.5864565936","235643.104494163"
2,"20230401","103","行政區域","山地鄉","100","0.391070792124652","6.56691271056262","3.96217781770623","4.2891358927769","17.3138233982685","10.9967633988675","17.3914030002818","13.2783321265442","23.1138943528112","2.69648651005645","9266.37880785488","72242.8492033505"
3,"20230401","103","行政區域","平地原住民鄉鎮市","100","0.184769337746964","5.58782774716501","4.33548552328498","4.30982898387156","24.0442802164046","8.91620217849713","24.4399090891273","10.5628700497155","15.6207706733234","1.99805620086377","7541.83246706818","58796.5234332224"
4,"20230401","103","行政區域","非原住民鄉鎮市","100","0.311736542066063","5.79239432215281","4.46251529654163","6.1613096151987","27.1225926955764","1.26303742085185","17.4214106061319","20.6978644777342","15.6420961417614","1.12504288198561","13417.3751816708","104603.731857593"
5,"20230401","103","統計區域","北部地區","100.000000000001","0.284084493412292","5.05187993317269","3.95876144362778","6.29470146955568","25.9451152092154","1.92903288555067","18.6249304942727","20.0049040671844","17.3048929744012","0.601697029608042","10340.2659074889","80614.3877711561"
6,"20230401","103","統計區域","北部地區_山地鄉","100","0.259097120880692","5.38504114308796","1.99132038348872","5.86370942185325","21.2000726232904","6.04275448957878","16.4542093539885","16.8969804910618","24.6914958388272","1.21531913394276","1739.99275693418","13565.0308853391"
7,"20230401","103","統計區域","北部地區_平地原住民鄉鎮市","100","0","10.5018787115234","0","0","8.67178074974721","4.04498106213411","35.3955756493307","14.6220832019722","26.7637006252924","0","41.4644283298387","323.188121040803"
8,"20230401","103","統計區域","北部地區_非原住民鄉鎮市","99.9999999999991","0.290540239662247","4.95775318974623","4.3779046963608","6.41280795348483","26.9934173526358","1.08248930342375","18.9849965142443","20.6627980220349","15.757427082426","0.479865645980269","8558.80872222491","66726.1687647772"
9,"20230401","103","統計區域","中部地區","99.9999999999993","0.529910503248329","5.36604808005464","4.29725801629631","4.24278313946393","19.8439122968283","8.23865703709603","12.5460851689336","17.7305373304943","26.3990862538939","0.805722173689961","4499.23769759456","35077.4079034858"
10,"20230401","103","統計區域","中部地區_山地鄉","99.9999999999998","0.439997580962375","3.65927493104212","4.12685406619522","3.18718522166567","10.5190386950315","17.7086460366203","7.89792280675957","10.2509819588917","41.3650748346069","0.845023868224496","1862.30708545245","14519.310485873"
11,"20230401","103","統計區域","中部地區_平地原住民鄉鎮市","100","1.96335432466136","3.81453189282223","7.8335061879323","8.10359343333198","23.2436532255777","5.08755803345363","2.84620847405242","27.8384452807426","19.2691491474258","0","166.678523931027","1299.65724629041"
12,"20230401","103","統計區域","中部地區_非原住民鄉鎮市","100","0.500961532857787","6.75752154813142","4.18708488272293","4.77807175837958","26.6446830740734","1.31170133656742","16.7050215546048","22.6873858641755","15.5971023624281","0.830466086059092","2470.25208821108","19258.4401713222"
13,"20230401","103","統計區域","南部地區","100","0.270572611415832","7.59124503690448","4.08854965976598","5.28053467595842","21.8666049003597","8.44045901333778","17.4541898381961","16.3185809920979","14.9730699513772","3.71619332058673","5858.28927827425","45671.0965057784"
14,"20230401","103","統計區域","南部地區_山地鄉","100","0.401338840828033","7.40317384811286","3.45183202701134","4.1301349643162","17.49188756091","13.1712173700578","20.8156818795753","14.7922986453529","14.5767438366065","3.76569102722938","3361.26666661059","26204.8884287991"
15,"20230401","103","統計區域","南部地區_平地原住民鄉鎮市","100","0","8.69245145263303","2.39694532277819","9.53111685576648","23.9290947126962","6.7447409138298","19.6798862575126","8.85253829073286","18.7015689503321","1.47165724371884","119.67697237804","932.624844467869"
16,"20230401","103","統計區域","南部地區_非原住民鄉鎮市","100","0.0992958716435647","7.80174788504866","5.07393637800366","6.6932079415274","27.9482918107269","1.83690455993065","12.5893311357855","18.8523098955338","15.3458198256631","3.75915469613677","2377.34563928565","18533.5832325113"
17,"20230401","103","統計區域","東部地區","100","0.240685046867761","6.28271820703882","4.73003354214112","4.17771003588166","23.0929607134254","8.35773164823364","23.923696438811","10.3053902578601","16.4190541944396","2.47001991530113","9527.79357323584","74280.2123137454"
18,"20230401","103","統計區域","東部地區_山地鄉","100","0.436229965848692","8.59073249828787","6.06299715904486","4.22268839815262","19.6126549365235","6.1380245646299","20.7789651364412","10.7827148084986","19.6226934508474","3.75229908172551","2302.81229885758","17953.6194033392"
19,"20230401","103","統計區域","東部地區_平地原住民鄉鎮市","99.9999999999999","0.147794298744255","5.54908495757282","4.3117107243644","4.1603436838274","24.1530295089708","9.06867806824993","24.9548884873123","10.1686896984615","15.421341030978","2.06443954151842","7214.0125424293","56241.0532214234"
20,"20230401","103","統計區域","東部地區_非原住民鄉鎮市","100","20.272724883877","4.21463102511354","0","6.15547655055768","56.5826753845838","6.80758245576606","5.96690970010193","0","0","0","10.9687319490853","85.5396889829327"
21,"20230401","103","縣市","新北市","99.9999999999993","0.210704075256901","4.78997016566622","5.02587616170768","6.9875726440628","29.6863331538298","1.02803294519047","19.9216466099251","17.8592478980504","14.1250481693594","0.36556817695053","3249.64612529616","25335.113139844"
22,"20230401","103","縣市","臺北市","99.9999999999998","0.401385045923905","9.4061838208348","5.52974499757051","12.6364575908535","36.8493469355802","0.238086974277502","10.9564890643615","9.20942715681567","14.0649828648277","0.70789554895449","903.590709798563","7044.40529715423"
23,"20230401","103","縣市","桃園市","100","0.328298308283821","3.68021921506629","3.74030657584652","3.9618235189005","20.9623999327294","1.9523288184451","16.4009297887643","26.3245623303378","22.2556730039744","0.393458507652134","3403.97152424331","26538.4824000899"
24,"20230401","103","縣市","臺中市","100","0.490933593613276","6.42466614761841","4.5946935846152","4.12030892988141","25.7425866453705","1.7130845787051","17.2918845714265","19.4750880385523","19.424901204259","0.72185270595841","1816.02681941727","14158.3989445248"
25,"20230401","103","縣市","臺南市","100","0.254922022499631","9.15945986271754","5.81936597995416","8.64737102165055","31.2876243627327","0.221924281180999","10.1450649100895","20.7668224857367","10.6981039166228","2.99934115681552","392.949225711655","3063.99789285524"
26,"20230401","103","縣市","高雄市","99.9999999999997","0.160341390057043","7.30497581122756","3.74417042694932","6.86748306953039","23.0985043775254","12.2808011944018","14.4749152148344","17.4174054201119","12.2226427540233","2.42876034133857","1790.222469199","13956.9406788106"
27,"20230401","103","縣市","宜蘭縣","99.9999999999999","0","5.63401902684721","1.87387438377817","4.38252480439253","27.2857693218993","3.47055596449929","29.0125087826115","8.09268977490037","19.8854545157294","0.36260342534212","733.043679288725","5715.25568849393"
28,"20230401","103","縣市","新竹縣","100","0.335874055095299","6.95908157555014","1.70993899495555","5.61658555867182","18.7244041113793","4.83423007239967","13.8611650896673","29.0237500384493","17.4763878134586","1.45858269037305","1119.71718377868","8728.45472243242"
29,"20230401","103","縣市","苗栗縣","99.9999999999999","0.709469943112858","4.57883340030641","5.64166527147","3.04485640574186","13.9868296890331","15.5976782962719","10.871252410707","19.5017820571412","25.4402404913314","0.627392034884163","543.383873959607","4236.55325618973"
30,"20230401","103","縣市","彰化縣","100","0.697413266872769","4.35698935275696","2.94741476033403","1.59773444718684","24.8901594528449","3.02900389289431","20.5762455910367","32.9113653671085","8.61634011819459","0.377333750770483","388.9050443847","3031.77906396515"
31,"20230401","103","縣市","南投縣","99.9999999999999","0.520612245860022","4.52098549875211","3.81290789503595","5.0639642536816","12.5175218176491","15.1361950083455","6.07585948915811","11.6834604535914","39.6045523808633","1.06394095706273","1605.52443583169","12517.8443531837"
32,"20230401","103","縣市","雲林縣","100","0","7.11771511384405","4.51669171844112","8.25829810731096","35.4769121308812","0","9.50080002113465","15.4949310291761","18.8206327790609","0.814019100150987","145.397524001291","1132.83228562216"
33,"20230401","103","縣市","嘉義縣","100","0","5.23871426288228","3.03102582942299","4.42574079233681","14.6153323570042","21.6048376740078","4.84811597988215","5.07021109451474","40.6254585443667","0.540563465582381","326.33464746542","2544.78472591179"
