,年度,類別,項目別,民意代表_主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農_林_漁_牧業生產人員,技藝有關工作人員,機械設備操作及組裝人員,基層技術工及勞力工,其他
204,110,統計區域,北部地區,49,561,433,619,2473,144,1092,1161,1074,154
205,110,統計區域,北部地區_山地原住民族地區,10,73,43,85,253,76,122,196,227,42
206,110,統計區域,北部地區_平地原住民族地區,0,1,0,1,14,0,4,6,3,1
207,110,統計區域,北部地區_非原住民族地區,39,487,390,532,2205,68,966,959,844,111
208,110,統計區域,中部地區,12,296,217,143,828,183,368,433,631,80
209,110,統計區域,中部地區_山地原住民族地區,4,108,54,31,192,150,112,102,359,34
210,110,統計區域,中部地區_平地原住民族地區,0,6,6,6,43,6,19,21,19,3
211,110,統計區域,中部地區_非原住民族地區,8,182,157,106,593,28,237,310,252,43
212,110,統計區域,南部地區,16,354,247,271,1074,159,655,479,615,217
213,110,統計區域,南部地區_山地原住民族地區,7,182,106,135,470,135,396,242,399,119
214,110,統計區域,南部地區_平地原住民族地區,0,3,11,5,24,2,26,7,11,5
215,110,統計區域,南部地區_非原住民族地區,9,169,129,132,580,22,232,231,205,94
216,110,統計區域,東部地區,24,439,336,489,1578,235,1214,657,789,279
217,110,統計區域,東部地區_山地原住民族地區,2,124,92,116,358,51,266,216,212,96
218,110,統計區域,東部地區_平地原住民族地區,22,314,243,372,1216,184,947,441,577,183
219,110,統計區域,東部地區_非原住民族地區,0,0,0,0,0,0,0,0,0,0
