,年度,類別,項目別,民意代表_主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農_林_漁_牧業生產人員,技藝有關工作人員,機械設備操作及組裝人員,基層技術工及勞力工,其他
220,110,縣市,新北市,9,158,129,243,753,5,321,337,333,22
221,110,縣市,臺北市,12,64,59,84,250,4,43,47,78,7
222,110,縣市,桃園市,21,174,148,173,886,51,515,481,365,66
223,110,縣市,臺中市,6,138,119,67,428,16,148,191,195,26
224,110,縣市,臺南市,4,36,23,25,104,2,34,51,31,6
225,110,縣市,高雄市,3,101,81,97,386,44,159,159,157,56
226,110,縣市,宜蘭縣,0,53,19,43,176,41,46,80,123,20
227,110,縣市,新竹縣,7,79,53,46,222,24,83,140,125,31
228,110,縣市,苗栗縣,3,40,18,13,103,26,52,82,83,3
229,110,縣市,彰化縣,2,17,13,10,75,4,37,46,28,4
230,110,縣市,南投縣,1,93,64,49,197,135,121,95,316,46
231,110,縣市,雲林縣,0,9,3,4,24,3,9,19,10,1
232,110,縣市,嘉義縣,5,17,15,28,35,56,17,8,53,8
233,110,縣市,屏東縣,3,198,123,120,526,57,439,258,363,144
234,110,縣市,臺東縣,5,205,157,208,724,136,526,318,376,121
235,110,縣市,花蓮縣,19,234,179,281,854,99,688,339,413,159
236,110,縣市,澎湖縣,0,0,1,0,9,0,4,0,2,2
237,110,縣市,基隆市,1,20,12,21,129,17,64,36,39,5
238,110,縣市,新竹市,0,13,13,9,57,1,20,38,11,4
239,110,縣市,嘉義市,0,2,4,1,14,0,2,2,9,2
