,年度,類別,項目別,民意代表_主管及經理人員,專業人員,技術員及助理專業人員,事務支援人員,服務及銷售工作人員,農_林_漁_牧業生產人員,技藝有關工作人員,機械設備操作及組裝人員,基層技術工及勞力工,其他
193,110,性別,男,67,436,562,395,2152,455,2750,1604,1797,665
194,110,性別,女,34,1214,670,1127,3800,266,578,1126,1311,65
195,110,年齡,15 ~ 24歲,3,158,122,160,1091,20,244,137,318,48
196,110,年齡,15 ~ 19歲,0,7,6,11,250,5,58,35,82,0
197,110,年齡,20 ~ 24歲,3,151,117,148,841,15,187,102,236,48
198,110,年齡,25 ~ 34歲,29,560,403,534,2031,80,616,549,632,241
199,110,年齡,25 ~ 29歲,20,299,200,308,1136,33,322,242,343,127
200,110,年齡,30 ~ 34歲,10,261,203,226,895,47,294,306,289,114
201,110,年齡,35 ~ 44歲,29,504,352,454,1420,97,857,748,805,192
202,110,年齡,35 ~ 39歲,13,282,185,220,748,39,392,368,392,86
203,110,年齡,40 ~ 44歲,16,222,167,233,672,58,465,379,413,107
204,110,年齡,45 ~ 54歲,25,292,264,289,978,177,919,676,716,147
205,110,年齡,45 ~ 49歲,13,160,157,162,571,63,456,342,355,83
206,110,年齡,50 ~ 54歲,12,132,107,127,407,114,463,334,362,64
207,110,年齡,55 ~ 64歲,14,122,81,75,384,227,603,550,540,91
208,110,年齡,55 ~ 59歲,7,84,54,52,254,132,400,334,319,56
209,110,年齡,60 ~ 64歲,7,38,27,22,131,95,203,216,222,35
210,110,年齡,65歲及以上,2,13,10,11,48,120,89,71,97,11
211,110,教育程度,小學及以下,3,3,11,6,143,212,291,214,364,10
212,110,教育程度,國(初)中,4,14,52,37,644,216,1091,721,1002,41
213,110,教育程度,高級中等(高中、高職),35,196,294,432,2928,220,1576,1347,1334,463
214,110,教育程度,專科,7,309,229,188,557,23,114,123,121,93
215,110,教育程度,大學及以上,52,1127,646,859,1680,50,257,325,288,122
220,110,個人每月收入,未滿1萬元,0,30,21,54,187,55,82,66,150,8
221,110,個人每月收入,1萬元 ~ 未滿2萬元,0,47,58,70,508,143,217,173,429,38
222,110,個人每月收入,2萬元 ~ 未滿3萬元,11,285,291,529,2546,245,868,913,1266,188
223,110,個人每月收入,3萬元 ~ 未滿4萬元,20,518,471,544,1674,173,1106,891,787,223
224,110,個人每月收入,4萬元 ~ 未滿5萬元,16,345,212,194,534,72,727,397,316,126
225,110,個人每月收入,5萬元 ~ 未滿6萬元,28,215,103,83,248,20,207,173,104,64
226,110,個人每月收入,6萬元 ~ 未滿7萬元,12,115,31,16,103,9,62,67,21,27
227,110,個人每月收入,7萬元及以上,14,94,45,30,151,6,58,49,36,56
